city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,homeowner_tax,rent_amount,property_tax,fire_insurance,total
Sao Paulo,128,2,3,3,9,acept,not furnished,2000,3900,500,50,6450
Sao Paulo,62,2,2,1,1,not acept,not furnished,0,2350,0,30,2380
Sao Paulo,55,2,1,1,14,acept,not furnished,420,1399,0,18,1837
Sao Paulo,130,3,2,1,8,acept,not furnished,2400,5500,209,70,8179
Sao Paulo,82,3,2,2,4,not acept,not furnished,860,2600,209,33,3702
Sao Paulo,100,3,2,1,5,acept,not furnished,1221,1200,38,16,2475
Sao Paulo,122,2,2,2,10,acept,not furnished,1761,3950,640,51,6402
Porto Alegre,87,2,1,0,2,acept,not furnished,300,1300,64,19,1683
Belo Horizonte,70,2,1,2,4,acept,not furnished,290,780,0,11,1081
Rio de Janeiro,123,3,2,1,1,acept,not furnished,2800,3700,237,48,6785
Porto Alegre,91,3,2,2,3,acept,not furnished,400,3390,150,50,3990
Sao Paulo,50,1,1,0,4,acept,not furnished,100,1100,0,14,1214
Sao Paulo,189,4,3,3,14,acept,not furnished,3300,5780,440,74,9594
Campinas,45,2,1,1,3,acept,not furnished,312,850,25,11,1198
Rio de Janeiro,35,1,1,0,7,acept,furnished,560,1950,50,26,2586
Sao Paulo,350,5,5,4,8,not acept,not furnished,3000,7200,1417,92,11710
Belo Horizonte,73,1,1,0,13,not acept,not furnished,744,1460,142,20,2366
Sao Paulo,685,4,3,5,11,acept,not furnished,3960,13000,3120,165,20250
Sao Paulo,140,5,2,1,1,acept,furnished,0,3999,200,51,4250
Sao Paulo,78,3,3,2,10,acept,not furnished,639,2800,117,36,3592
Porto Alegre,102,2,2,1,11,acept,furnished,1900,3000,259,44,5203
Campinas,48,2,1,1,5,acept,not furnished,263,1000,66,13,1342
Sao Paulo,84,3,2,1,3,not acept,furnished,741,2175,185,28,3129
Sao Paulo,391,4,5,2,15,acept,not furnished,2900,10000,1999,127,15030
Sao Paulo,227,4,4,3,7,not acept,furnished,2000,15000,750,191,17940
Sao Paulo,180,3,3,4,27,acept,not furnished,1800,6500,859,83,9242
Belo Horizonte,178,4,4,4,1,acept,not furnished,1200,3900,409,52,5561
Sao Paulo,105,1,1,2,29,not acept,not furnished,1300,8700,417,111,10530
Sao Paulo,26,1,1,0,4,acept,furnished,400,4300,60,55,4815
Sao Paulo,200,2,3,1,10,acept,not furnished,1750,4500,0,58,6308
Belo Horizonte,78,2,2,2,3,acept,not furnished,150,1300,100,18,1568
Porto Alegre,66,3,2,1,11,acept,not furnished,400,1500,40,22,1962
Rio de Janeiro,20,1,1,0,11,not acept,furnished,0,1650,0,22,1672
Campinas,35,1,1,1,13,acept,not furnished,475,750,32,10,1267
Sao Paulo,130,2,4,3,2,acept,not furnished,1800,6000,667,77,8544
Sao Paulo,120,3,1,0,1,acept,not furnished,0,1210,207,16,1433
Rio de Janeiro,75,2,2,0,1,not acept,not furnished,670,2200,59,29,2958
Sao Paulo,120,3,3,2,23,not acept,not furnished,1500,7300,400,93,9293
Rio de Janeiro,65,2,1,1,1,acept,furnished,0,1530,0,20,1550
Sao Paulo,62,3,1,2,1,acept,not furnished,750,1400,156,18,2324
Sao Paulo,129,3,4,2,8,acept,not furnished,1800,3000,600,39,5439
Rio de Janeiro,38,1,1,0,12,not acept,not furnished,600,1700,82,22,2404
Porto Alegre,120,3,3,3,7,acept,not furnished,800,5000,0,74,5874
Sao Paulo,82,1,1,2,1,acept,not furnished,1650,8000,267,102,10020
Belo Horizonte,58,2,2,2,7,acept,not furnished,304,1400,100,19,1823
Sao Paulo,52,2,1,1,3,not acept,not furnished,450,2400,78,31,2959
Sao Paulo,67,2,1,0,3,acept,not furnished,385,1300,56,17,1758
Belo Horizonte,100,3,1,1,2,acept,not furnished,0,2900,301,39,3240
Sao Paulo,570,4,5,4,14,acept,not furnished,3800,10870,2016,138,16820
Sao Paulo,54,2,1,1,1,acept,not furnished,280,2200,0,28,2508
Sao Paulo,32,1,1,1,11,acept,furnished,652,3870,42,50,4614
Sao Paulo,127,3,2,2,1,acept,not furnished,0,5000,250,76,5326
Porto Alegre,60,1,1,0,2,not acept,furnished,100,1170,0,18,1288
Sao Paulo,245,3,5,4,13,acept,furnished,2450,11500,1584,146,15680
Sao Paulo,180,3,2,2,2,acept,not furnished,2500,7000,1200,89,10790
Porto Alegre,42,1,1,1,2,acept,not furnished,280,900,19,14,1213
Porto Alegre,41,1,1,0,5,acept,furnished,300,1090,84,16,1490
Porto Alegre,222,4,3,2,13,acept,not furnished,2300,4000,200,59,6559
Porto Alegre,122,3,3,2,2,acept,not furnished,600,2500,149,37,3286
Rio de Janeiro,62,1,1,0,7,not acept,furnished,943,2700,156,35,3834
Sao Paulo,107,2,2,0,6,not acept,not furnished,799,3150,0,40,3989
Belo Horizonte,59,2,2,0,2,not acept,furnished,510,1400,112,19,2041
Rio de Janeiro,40,1,1,0,4,acept,furnished,510,1360,1,18,1889
Campinas,72,3,1,1,1,acept,furnished,470,1075,49,14,1608
Belo Horizonte,400,4,6,4,15,acept,not furnished,1840,6000,668,80,8588
Sao Paulo,84,2,3,2,25,acept,furnished,634,6900,165,88,7787
Belo Horizonte,80,3,2,2,11,acept,not furnished,700,1800,167,24,2691
Belo Horizonte,413,4,4,0,1,acept,not furnished,2314,7900,692,106,11010
Belo Horizonte,66,2,1,1,3,acept,not furnished,200,1000,25,14,1239
Rio de Janeiro,140,3,2,1,22,not acept,not furnished,732,3000,305,39,4076
Belo Horizonte,190,4,2,2,4,acept,not furnished,970,3500,287,47,4804
Rio de Janeiro,60,2,2,0,15,acept,furnished,1640,2300,205,30,4175
Sao Paulo,100,2,2,2,6,acept,furnished,1700,6500,42,83,8325
Campinas,120,2,1,0,3,acept,not furnished,830,1100,95,14,2039
Belo Horizonte,52,2,1,1,4,not acept,not furnished,180,730,0,10,920
Sao Paulo,52,2,1,1,17,acept,not furnished,540,1100,45,14,1699
Campinas,115,3,3,1,5,acept,not furnished,1035,1900,30,25,2990
Rio de Janeiro,47,1,1,1,5,acept,not furnished,390,1000,0,13,1403
Sao Paulo,66,2,1,1,8,not acept,not furnished,530,1780,0,23,2333
Porto Alegre,55,2,1,1,2,acept,not furnished,300,1319,75,20,1714
Sao Paulo,200,3,4,3,20,not acept,furnished,2450,12000,1261,153,15860
Campinas,51,2,1,1,1,not acept,not furnished,390,800,50,11,1251
Sao Paulo,140,3,3,2,6,acept,not furnished,2420,2580,1000,33,6033
Belo Horizonte,200,4,4,3,4,acept,not furnished,1200,4200,580,56,6036
Porto Alegre,30,2,2,1,1,acept,not furnished,250,1275,50,19,1594
Belo Horizonte,87,3,2,2,11,acept,not furnished,700,3500,125,47,4372
Porto Alegre,100,3,2,1,6,acept,not furnished,1374,1800,211,27,3412
Sao Paulo,48,1,1,1,8,not acept,not furnished,415,2000,0,8,2423
Rio de Janeiro,40,1,1,1,20,not acept,not furnished,800,1160,91,15,2066
Porto Alegre,78,2,2,1,4,acept,not furnished,700,2300,105,34,3139
Porto Alegre,41,1,2,1,9,acept,not furnished,400,2800,67,41,3308
Sao Paulo,200,3,4,3,5,acept,furnished,3249,5500,843,70,9662
Rio de Janeiro,136,3,1,0,8,acept,furnished,2000,3000,0,39,5039
Sao Paulo,250,3,4,4,18,acept,not furnished,2200,3300,852,42,6394
Rio de Janeiro,125,3,2,1,8,not acept,furnished,1164,3000,250,39,4453
Porto Alegre,62,2,1,0,8,acept,not furnished,504,1100,32,17,1653
Campinas,61,1,1,0,8,acept,furnished,378,1900,43,25,2346
Porto Alegre,160,3,2,1,5,acept,not furnished,1200,2500,170,37,3907
Campinas,64,1,1,0,3,acept,not furnished,680,1100,50,14,1844
Rio de Janeiro,70,3,2,1,7,acept,not furnished,1292,2100,94,28,3514
Belo Horizonte,163,4,3,2,2,acept,not furnished,300,2300,136,31,2767
Sao Paulo,360,4,5,4,8,acept,not furnished,3500,1700,1417,22,6639
Rio de Janeiro,90,2,2,1,2,not acept,not furnished,1389,3973,422,52,5836
Rio de Janeiro,264,4,4,1,2,not acept,furnished,3200,7000,1067,91,11360
Rio de Janeiro,70,2,1,0,5,acept,not furnished,950,2500,199,19,3668
Sao Paulo,126,2,2,1,8,not acept,not furnished,889,3120,204,40,4253
Sao Paulo,35,1,1,1,14,not acept,not furnished,450,2700,0,35,3185
Porto Alegre,98,2,2,1,2,acept,not furnished,465,1300,54,19,1838
Rio de Janeiro,47,2,1,1,4,acept,not furnished,466,1375,0,18,1859
Sao Paulo,70,3,2,1,3,acept,not furnished,758,2000,109,26,2893
Rio de Janeiro,90,2,2,1,4,acept,not furnished,1200,3800,253,49,5302
Sao Paulo,250,3,4,3,8,acept,not furnished,2850,9000,834,115,12800
Sao Paulo,25,1,1,0,1,not acept,not furnished,0,1200,35,16,1251
Sao Paulo,97,2,3,2,15,acept,not furnished,768,3300,243,42,4353
Sao Paulo,33,1,1,0,15,not acept,not furnished,550,4000,0,51,4601
Rio de Janeiro,66,2,1,1,3,acept,not furnished,477,1100,44,15,1636
Sao Paulo,78,3,2,2,1,acept,not furnished,780,1540,230,20,2570
Sao Paulo,248,3,4,3,10,acept,not furnished,2200,6000,742,77,9019
Sao Paulo,163,3,2,1,1,acept,not furnished,1100,4000,84,51,5235
Sao Paulo,332,5,4,3,17,acept,not furnished,3200,15000,1167,191,19560
Sao Paulo,30,1,1,1,10,acept,furnished,730,1850,70,24,2674
Rio de Janeiro,172,3,3,3,3,acept,not furnished,2000,5000,800,65,7865
Sao Paulo,432,5,7,6,21,acept,not furnished,3208,15000,3007,191,21410
Sao Paulo,46,2,1,1,5,not acept,not furnished,600,1180,25,15,1820
Rio de Janeiro,76,2,1,0,3,acept,not furnished,625,1000,50,13,1688
Belo Horizonte,210,4,4,2,1,not acept,not furnished,1500,4200,283,56,6039
Sao Paulo,110,3,2,1,7,acept,not furnished,1200,1200,350,16,2766
Rio de Janeiro,95,3,2,2,3,acept,not furnished,1200,5800,430,75,7505
Sao Paulo,38,1,1,0,16,not acept,not furnished,188,2001,0,26,2215
Sao Paulo,220,4,3,3,20,acept,furnished,2080,5500,1092,70,8742
Sao Paulo,360,4,7,5,2,acept,not furnished,3900,3990,2505,51,10450
Rio de Janeiro,25,1,1,0,4,acept,furnished,659,1910,0,25,2594
Campinas,55,2,1,1,2,acept,not furnished,235,700,0,9,944
Rio de Janeiro,60,2,1,0,1,not acept,not furnished,500,2000,57,26,2583
Sao Paulo,70,3,1,2,1,not acept,furnished,882,3200,140,41,4263
Sao Paulo,52,2,1,1,7,acept,not furnished,616,1200,65,16,1897
Rio de Janeiro,110,3,2,1,4,not acept,not furnished,788,2500,140,33,3461
Sao Paulo,53,2,1,1,8,acept,not furnished,571,1800,22,23,2416
Sao Paulo,188,1,3,2,10,not acept,not furnished,1180,8000,550,102,9832
Porto Alegre,121,3,2,1,10,acept,not furnished,800,1900,200,28,2928
Belo Horizonte,160,4,2,2,3,acept,not furnished,700,2700,305,36,3741
Sao Paulo,285,4,5,4,6,acept,furnished,200000,20000,1834,254,222100
Rio de Janeiro,320,3,6,3,9,acept,not furnished,2000,6490,900,84,9474
Rio de Janeiro,96,2,2,2,7,acept,furnished,1320,7500,434,97,9351
Sao Paulo,35,1,1,1,7,acept,not furnished,430,2100,0,27,2557
Sao Paulo,57,1,1,0,9,acept,furnished,300,6000,17,77,6394
Sao Paulo,485,5,6,6,23,acept,not furnished,5709,13000,2495,165,21370
Sao Paulo,61,1,2,1,14,not acept,not furnished,444,1930,87,25,2486
Rio de Janeiro,28,1,1,0,8,acept,not furnished,453,1009,0,7,1469
Sao Paulo,130,3,2,1,8,not acept,furnished,1200,7500,417,96,9213
Porto Alegre,119,3,1,0,3,acept,not furnished,560,2100,84,31,2775
Sao Paulo,123,3,1,1,6,not acept,not furnished,2000,3800,348,49,6197
Campinas,96,2,1,1,3,acept,furnished,671,1800,52,23,2546
Rio de Janeiro,120,3,2,2,4,acept,not furnished,1950,5500,250,71,7771
Rio de Janeiro,89,3,1,1,7,acept,not furnished,1100,2000,90,26,3216
Sao Paulo,190,3,3,2,10,not acept,not furnished,2800,9000,888,115,12800
Rio de Janeiro,40,1,1,0,1,acept,not furnished,379,1180,0,16,1575
Sao Paulo,210,4,3,3,11,acept,not furnished,1250,4000,750,51,6051
Sao Paulo,77,2,2,1,8,acept,not furnished,840,3170,34,41,4085
Belo Horizonte,65,3,1,1,3,not acept,not furnished,245,900,69,12,1226
Rio de Janeiro,80,2,3,1,15,acept,furnished,602,3100,240,40,3982
Porto Alegre,110,3,2,0,3,not acept,furnished,370,2070,100,31,2571
Porto Alegre,132,3,2,2,9,acept,furnished,1000,3350,167,49,4566
Belo Horizonte,90,3,2,2,2,acept,not furnished,650,3500,325,47,4522
Porto Alegre,50,2,1,1,2,acept,not furnished,100,1540,0,23,1663
Sao Paulo,55,3,1,1,7,acept,furnished,600,1800,121,23,2544
Sao Paulo,40,1,1,0,6,acept,not furnished,600,3480,142,45,4267
Rio de Janeiro,38,2,2,1,10,acept,not furnished,1450,3200,200,42,4892
Sao Paulo,136,3,3,1,9,acept,not furnished,1530,7500,290,96,9416
Rio de Janeiro,140,3,2,2,4,acept,not furnished,1450,2700,169,35,4354
Rio de Janeiro,150,4,2,2,2,acept,not furnished,2900,9000,834,116,12850
Belo Horizonte,65,2,2,1,4,acept,not furnished,255,1400,81,19,1755
Sao Paulo,41,3,2,1,1,not acept,furnished,0,6500,0,83,6583
Porto Alegre,70,2,1,1,3,acept,furnished,450,1800,63,27,2340
Rio de Janeiro,70,2,2,1,11,not acept,furnished,2800,6000,835,78,9713
Sao Paulo,25,1,1,0,23,acept,not furnished,432,2200,45,28,2705
Sao Paulo,42,1,1,2,6,acept,furnished,595,3380,0,43,4018
Porto Alegre,64,2,1,1,4,acept,not furnished,600,980,34,15,1629
Rio de Janeiro,31,1,1,0,5,acept,not furnished,400,1350,67,18,1835
Sao Paulo,74,2,1,0,2,acept,not furnished,589,2850,0,37,3476
Sao Paulo,110,2,3,3,1,not acept,not furnished,1600,1890,0,24,3514
Sao Paulo,20,1,1,0,5,acept,furnished,602,1800,130,23,2555
Belo Horizonte,91,2,3,1,9,acept,furnished,853,2350,221,32,3456
Porto Alegre,85,2,3,1,4,acept,not furnished,350,3000,125,44,3519
Sao Paulo,42,1,1,1,13,not acept,not furnished,704,3000,192,39,3935
Porto Alegre,359,3,4,2,3,acept,not furnished,2300,7000,292,103,9695
Porto Alegre,89,2,1,0,4,not acept,not furnished,340,1190,0,18,1548
Sao Paulo,43,1,1,0,4,acept,not furnished,300,1600,17,21,1938
Sao Paulo,40,1,1,1,4,not acept,furnished,620,5000,184,64,5868
Campinas,42,1,1,1,13,acept,not furnished,470,1750,75,23,2318
Porto Alegre,140,3,1,1,11,acept,furnished,1000,4445,166,65,5676
Sao Paulo,60,1,1,1,3,acept,not furnished,252,750,9,10,1021
Rio de Janeiro,121,1,1,0,1,acept,not furnished,2000,6800,300,88,9188
Porto Alegre,148,3,2,2,3,acept,furnished,2200,3990,167,59,6416
Rio de Janeiro,130,4,3,0,2,acept,furnished,750,9900,141,128,10920
Rio de Janeiro,35,1,1,0,1,acept,furnished,81150,4500,9900,58,95610
Rio de Janeiro,85,3,2,1,17,acept,not furnished,1100,4170,225,54,5549
Rio de Janeiro,53,2,1,1,4,acept,furnished,365,1239,0,16,1620
Sao Paulo,80,3,2,2,4,acept,not furnished,690,2650,92,34,3466
Sao Paulo,103,3,2,2,4,acept,furnished,1100,7550,209,96,8955
Porto Alegre,78,2,2,0,7,acept,not furnished,450,1500,167,22,2139
Sao Paulo,158,3,4,2,2,acept,not furnished,1361,2750,142,35,4288
Rio de Janeiro,65,2,1,1,16,acept,not furnished,560,1000,125,13,1698
Sao Paulo,58,2,2,1,6,not acept,not furnished,520,2055,0,27,2602
Sao Paulo,250,3,4,0,6,acept,not furnished,3500,5000,1334,64,9898
Sao Paulo,440,4,4,4,11,acept,furnished,4985,10200,2849,130,18160
Porto Alegre,39,1,1,1,12,acept,not furnished,500,2200,50,33,2783
Belo Horizonte,200,4,3,3,7,acept,furnished,1350,7900,700,106,10060
Porto Alegre,40,1,1,0,2,acept,furnished,180,1250,6,19,1455
Belo Horizonte,75,2,1,1,4,acept,not furnished,380,849,71,12,1312
Campinas,85,2,2,1,4,acept,not furnished,675,1310,79,17,2081
Rio de Janeiro,57,2,1,1,3,acept,not furnished,430,1000,43,13,1486
Sao Paulo,60,3,1,0,1,not acept,not furnished,565,1950,109,25,2649
Campinas,46,2,1,1,5,acept,not furnished,380,850,18,11,1259
Belo Horizonte,57,2,2,1,4,acept,not furnished,180,1460,125,20,1785
Sao Paulo,102,3,2,2,5,acept,not furnished,1250,4200,250,54,5754
Sao Paulo,61,2,2,1,5,acept,not furnished,650,2300,21,30,3001
Rio de Janeiro,29,1,1,0,12,acept,furnished,580,1770,83,23,2456
Sao Paulo,210,3,3,4,1,acept,not furnished,3100,6500,1400,83,11080
Porto Alegre,45,1,1,0,11,acept,not furnished,750,900,658,14,2322
Belo Horizonte,45,1,1,1,6,acept,not furnished,757,2900,9,39,3705
Rio de Janeiro,40,1,1,0,8,acept,furnished,450,2000,50,26,2526
Sao Paulo,60,2,3,2,5,not acept,not furnished,730,1200,182,16,2128
Sao Paulo,86,2,1,1,11,not acept,not furnished,1105,3800,155,49,5109
Porto Alegre,75,2,2,2,6,acept,not furnished,556,2200,95,33,2884
Porto Alegre,70,2,2,1,2,acept,not furnished,400,2200,92,33,2725
Rio de Janeiro,280,3,3,2,2,acept,furnished,6500,8000,1680,104,16280
Sao Paulo,30,1,1,0,2,acept,not furnished,0,1850,0,24,1874
Campinas,100,2,2,1,11,acept,not furnished,0,2000,0,26,2026
Sao Paulo,123,3,3,2,3,not acept,furnished,1527,3400,334,44,5305
Sao Paulo,59,2,2,0,10,acept,furnished,380,3900,143,50,4473
Porto Alegre,58,1,1,1,2,acept,not furnished,273,1200,27,18,1518
Sao Paulo,42,1,1,1,9,acept,not furnished,500,2325,128,30,2983
Rio de Janeiro,90,3,2,1,17,acept,not furnished,830,980,120,13,1943
Rio de Janeiro,36,1,1,0,8,acept,furnished,450,2000,0,26,2476
Rio de Janeiro,45,1,1,1,5,acept,furnished,1050,2700,196,35,3981
Belo Horizonte,73,3,1,1,3,acept,not furnished,707,1400,121,19,2247
Sao Paulo,38,1,1,0,2,not acept,not furnished,60,950,0,13,1023
Sao Paulo,95,3,2,1,7,acept,not furnished,850,2300,0,30,3180
Campinas,60,1,1,1,1,acept,furnished,665,1700,37,22,2424
Belo Horizonte,60,2,1,1,6,not acept,not furnished,200,2000,66,27,2293
Sao Paulo,44,1,1,1,1,not acept,furnished,590,2000,29,26,2645
Porto Alegre,39,1,1,1,1,not acept,furnished,185,900,27,14,1126
Campinas,30,1,1,0,2,not acept,not furnished,70,1100,9,14,1193
Porto Alegre,100,3,1,0,3,acept,furnished,250,1870,59,28,2207
Sao Paulo,45,2,1,0,2,acept,not furnished,60,900,42,12,1014
Rio de Janeiro,90,3,2,1,10,not acept,furnished,1500,3500,350,46,5396
Campinas,51,2,1,2,13,not acept,not furnished,457,1850,56,24,2387
Sao Paulo,72,2,2,1,1,acept,not furnished,0,1760,30,23,1813
Rio de Janeiro,45,1,1,1,2,not acept,furnished,50,2000,50,26,2126
Porto Alegre,60,2,1,0,3,acept,not furnished,170,1090,25,16,1301
Sao Paulo,213,3,3,2,1,not acept,not furnished,3200,6500,475,83,10260
Sao Paulo,33,1,1,0,1,not acept,not furnished,250,1305,0,17,1572
Campinas,74,3,1,1,4,acept,not furnished,308,814,49,11,1182
Rio de Janeiro,45,1,1,0,2,acept,not furnished,340,1900,13,25,2278
Sao Paulo,59,2,2,1,2,acept,not furnished,759,3478,75,14,4326
Rio de Janeiro,35,1,1,0,5,not acept,furnished,600,4500,67,58,5225
Sao Paulo,253,4,5,3,16,acept,not furnished,2100,4100,0,52,6252
Campinas,78,3,2,1,6,acept,not furnished,645,1600,67,21,2333
Belo Horizonte,200,4,3,3,10,not acept,not furnished,2012,5000,547,67,7626
Sao Paulo,128,3,3,2,10,acept,not furnished,2600,3800,605,49,7054
Sao Paulo,60,2,2,1,17,acept,not furnished,440,1250,38,16,1744
Sao Paulo,244,3,4,2,7,acept,furnished,3500,12000,648,153,16300
Campinas,145,4,3,2,8,acept,not furnished,1800,5700,292,73,7865
Sao Paulo,120,3,2,1,7,acept,not furnished,1400,4675,200,60,6335
Campinas,34,1,1,0,4,acept,not furnished,430,650,70,9,1159
Sao Paulo,90,2,1,2,4,acept,not furnished,1100,2000,0,26,3126
Campinas,76,2,1,0,1,acept,not furnished,300,700,100,9,1109
Sao Paulo,69,3,2,1,8,acept,not furnished,670,2000,6,26,2702
Sao Paulo,101,2,2,1,12,acept,not furnished,582,1700,0,22,2304
Sao Paulo,225,3,3,2,5,acept,not furnished,2560,10800,670,137,14170
Sao Paulo,220,4,4,4,8,acept,not furnished,2058,4500,540,58,7156
Porto Alegre,79,2,1,0,10,acept,not furnished,400,1880,67,28,2375
Sao Paulo,282,4,4,3,19,acept,furnished,3100,10000,1334,127,14560
Sao Paulo,200,4,5,3,1,not acept,not furnished,2800,5500,997,70,9367
Porto Alegre,45,1,1,2,5,acept,not furnished,800,2300,9,34,3143
Sao Paulo,280,4,4,3,17,acept,furnished,2400,6553,0,84,9037
Sao Paulo,155,4,3,2,16,acept,not furnished,1050,3500,459,45,5054
Sao Paulo,44,1,1,1,9,acept,furnished,398,1900,19,25,2342
Belo Horizonte,312,4,5,4,9,acept,not furnished,1067,8000,890,107,10060
Rio de Janeiro,90,2,1,0,2,acept,not furnished,200,1200,142,16,1558
Sao Paulo,64,2,1,1,5,acept,furnished,741,1850,75,24,2690
Sao Paulo,150,2,2,3,2,not acept,furnished,4085,8000,570,102,12760
Porto Alegre,47,1,1,1,1,not acept,furnished,400,2200,0,33,2633
Rio de Janeiro,40,1,1,0,9,acept,furnished,550,1980,84,26,2640
Sao Paulo,50,1,1,0,12,acept,furnished,501,1800,0,23,2324
Rio de Janeiro,95,3,1,0,2,acept,not furnished,528,3000,140,39,3707
Rio de Janeiro,25,1,1,2,6,not acept,furnished,540,1650,42,22,2254
Sao Paulo,202,4,3,4,5,acept,not furnished,4308,12000,1896,153,18360
Rio de Janeiro,30,1,1,0,3,acept,not furnished,350,1000,17,13,1380
Porto Alegre,30,1,1,0,1,acept,furnished,230,850,18,13,1111
Porto Alegre,80,3,1,1,8,acept,not furnished,400,1700,125,25,2250
Belo Horizonte,120,4,3,2,2,acept,not furnished,0,3250,0,44,3294
Sao Paulo,90,3,3,2,16,acept,not furnished,1119,2600,360,33,4112
Rio de Janeiro,91,2,2,1,1,acept,not furnished,1102,3450,201,45,4798
Sao Paulo,36,1,1,0,4,acept,not furnished,300,1162,19,15,1496
Sao Paulo,51,2,1,1,7,acept,not furnished,427,2900,114,37,3478
Sao Paulo,287,4,4,4,6,not acept,not furnished,7900,11300,2590,144,21930
Rio de Janeiro,65,2,2,1,5,acept,furnished,1265,6700,262,87,8314
Sao Paulo,84,2,2,2,20,not acept,furnished,1250,9600,217,122,11190
Sao Paulo,43,1,1,1,2,not acept,furnished,488,3600,133,46,4267
Sao Paulo,58,2,1,1,1,acept,not furnished,430,1540,0,20,1990
Sao Paulo,208,4,4,3,1,acept,furnished,2860,8000,1672,102,12630
Sao Paulo,167,3,2,1,14,acept,furnished,1800,9500,500,121,11920
Sao Paulo,62,2,1,1,12,not acept,furnished,650,1236,34,16,1936
Porto Alegre,75,2,2,0,5,acept,not furnished,400,2500,140,37,3077
Campinas,244,5,7,4,12,acept,not furnished,1600,8000,500,102,10200
Porto Alegre,40,1,1,0,5,acept,not furnished,400,950,100,14,1464
Porto Alegre,90,2,1,0,2,acept,not furnished,200,950,26,14,1190
Porto Alegre,143,3,2,3,9,acept,furnished,1950,6000,698,88,8736
Sao Paulo,230,3,4,3,8,not acept,not furnished,2700,4210,1167,54,8131
Sao Paulo,238,4,4,3,1,acept,furnished,2569,15000,542,191,18300
Sao Paulo,113,3,4,3,5,acept,furnished,1055,3400,178,44,4677
Sao Paulo,115,2,2,2,10,not acept,furnished,1395,3800,259,49,5503
Sao Paulo,80,1,2,1,10,acept,furnished,1000,4000,109,51,5160
Rio de Janeiro,300,4,4,3,3,acept,not furnished,2300,4500,803,58,7661
Sao Paulo,55,2,1,1,9,acept,not furnished,655,1530,100,20,2305
Rio de Janeiro,58,2,1,1,7,acept,not furnished,754,750,44,10,1558
Campinas,40,1,1,0,4,acept,not furnished,420,500,17,7,944
Sao Paulo,164,3,2,1,15,acept,furnished,1229,3700,198,47,5174
Porto Alegre,76,2,2,0,2,acept,not furnished,190,2100,49,38,2377
Sao Paulo,80,2,1,1,2,acept,furnished,1950,2800,209,36,4995
Porto Alegre,75,2,2,2,4,acept,not furnished,550,1600,122,24,2296
Porto Alegre,50,1,1,1,3,not acept,not furnished,370,1200,50,18,1638
Sao Paulo,74,1,2,2,8,acept,furnished,850,5500,294,70,6714
Sao Paulo,73,2,1,1,4,acept,not furnished,540,2080,0,27,2647
Rio de Janeiro,403,3,4,2,3,acept,not furnished,2800,15000,667,194,18660
Sao Paulo,190,4,5,3,10,acept,not furnished,3200,4000,417,51,7668
Sao Paulo,138,3,2,1,7,not acept,not furnished,2000,7600,238,97,9935
Campinas,58,2,1,1,1,acept,furnished,385,3500,64,45,3994
Sao Paulo,38,1,1,0,16,acept,furnished,290,2500,0,32,2822
Sao Paulo,113,2,2,1,4,acept,not furnished,1000,3000,50,39,4089
Rio de Janeiro,90,2,1,0,10,acept,furnished,1,4000,1,52,4054
Sao Paulo,183,4,4,3,7,acept,not furnished,2200,5000,834,64,8098
Rio de Janeiro,20,1,1,0,8,acept,furnished,630,1370,25,18,2043
Belo Horizonte,66,2,1,1,1,acept,not furnished,380,500,23,7,910
Rio de Janeiro,92,2,2,0,3,acept,not furnished,1550,2700,250,35,4535
Porto Alegre,70,2,1,0,3,not acept,furnished,300,1800,0,27,2127
Sao Paulo,93,3,2,1,10,acept,not furnished,1497,3400,227,44,5168
Sao Paulo,220,4,5,4,5,not acept,not furnished,2066,3230,1577,41,6914
Sao Paulo,20,1,1,0,3,not acept,furnished,300,600,40,8,948
Sao Paulo,300,3,5,2,12,not acept,furnished,2100,13900,809,177,16990
Porto Alegre,90,3,1,1,6,acept,not furnished,380,1750,90,26,2246
Campinas,36,1,1,0,4,not acept,not furnished,300,500,10,7,817
Rio de Janeiro,70,2,2,0,3,acept,not furnished,1015,2250,135,29,3429
Rio de Janeiro,160,3,2,1,4,acept,furnished,1957,6800,513,88,9358
Sao Paulo,135,3,2,3,7,acept,not furnished,1941,2800,635,36,5412
Belo Horizonte,95,2,1,1,4,not acept,furnished,330,2000,94,27,2451
Sao Paulo,60,2,2,2,15,acept,not furnished,692,1900,90,25,2707
Sao Paulo,36,1,1,0,1,acept,not furnished,0,860,50,11,921
Sao Paulo,136,3,3,3,4,acept,furnished,1970,6000,600,77,8647
Sao Paulo,330,3,5,3,15,acept,not furnished,3400,15000,2500,191,21090
Belo Horizonte,65,3,2,1,5,not acept,not furnished,250,950,82,13,1295
Campinas,70,2,1,0,2,acept,not furnished,470,700,39,9,1218
Rio de Janeiro,65,2,2,0,2,acept,not furnished,640,1500,70,20,2230
Sao Paulo,45,1,1,1,1,not acept,furnished,3000,5520,0,70,8590
Sao Paulo,248,3,4,3,2,acept,not furnished,4325,5300,1521,68,11210
Sao Paulo,394,4,6,4,23,acept,furnished,6000,4000,2500,51,12550
Rio de Janeiro,16,1,1,0,2,acept,not furnished,450,555,30,8,1043
Sao Paulo,49,2,1,1,8,acept,not furnished,528,1700,135,22,2385
Rio de Janeiro,70,2,2,1,4,not acept,furnished,750,4100,13,53,4916
